code,name,date,type,entry_price,exit_price,pnl,pnl_pct,volume_k,baseline_volume_k,volume_ratio,volume_shares,desired_shares,realistic_shares,fill_ratio,naive_pnl_twd,realistic_pnl_twd
1324,地球,2026-01-05,locked,11.55,11.9,0.34999999999999964,0.03030303030303027,510,,,510000,8658.008658008657,8658.008658008657,1.0,3030.303030303027,3030.303030303027
1717,長興,2026-01-05,locked,46.1,49.6,3.5,0.07592190889370933,33489,,,33489000,2169.1973969631235,2169.1973969631235,1.0,7592.190889370932,7592.190889370932
1725,元禎,2026-01-05,locked,29.9,30.3,0.40000000000000213,0.013377926421404755,517,,,517000,3344.481605351171,3344.481605351171,1.0,1337.7926421404754,1337.7926421404754
1742,台蠟,2026-01-05,locked,16.4,16.75,0.3500000000000014,0.021341463414634235,536,,,536000,6097.5609756097565,6097.5609756097565,1.0,2134.1463414634236,2134.1463414634236
2321,東訊,2026-01-05,not_locked,17.4,17.15,-0.25,-0.014367816091954025,204,,,204000,5747.126436781609,5747.126436781609,1.0,-1436.7816091954023,-1436.7816091954023
2337,旺宏,2026-01-05,locked,47.65,49.4,1.75,0.03672612801678909,35505,,,35505000,2098.6358866736623,2098.6358866736623,1.0,3672.612801678909,3672.612801678909
2409,友達,2026-01-05,locked,13.85,14.5,0.6500000000000004,0.046931407942238296,264402,,,264402000,7220.216606498195,7220.216606498195,1.0,4693.140794223829,4693.140794223829
2460,建通,2026-01-05,locked,24.3,24.7,0.3999999999999986,0.01646090534979418,3012,,,3012000,4115.226337448559,4115.226337448559,1.0,1646.0905349794177,1646.0905349794177
2461,光群雷,2026-01-05,locked,16.9,17.1,0.20000000000000284,0.011834319526627389,2877,,,2877000,5917.15976331361,5917.15976331361,1.0,1183.4319526627387,1183.4319526627387
2543,皇昌,2026-01-05,locked,66.5,68.2,1.7000000000000028,0.025563909774436133,8947,,,8947000,1503.7593984962407,1503.7593984962407,1.0,2556.3909774436133,2556.3909774436133
3006,晶豪科,2026-01-05,not_locked,142.0,139.0,-3.0,-0.02112676056338028,53407,,,53407000,704.2253521126761,704.2253521126761,1.0,-2112.6760563380285,-2112.6760563380285
3057,喬鼎,2026-01-05,locked,23.15,24.75,1.6000000000000014,0.06911447084233267,1813,,,1813000,4319.654427645789,4319.654427645789,1.0,6911.4470842332685,6911.4470842332685
3131,弘塑,2026-01-05,locked,1765.0,1785.0,20.0,0.0113314447592068,2720,,,2720000,56.657223796033996,56.657223796033996,1.0,1133.14447592068,1133.14447592068
3135,凌航,2026-01-05,not_locked,97.9,90.0,-7.900000000000006,-0.08069458631256389,12330,,,12330000,1021.4504596527067,1021.4504596527067,1.0,-8069.458631256389,-8069.458631256389
3189,景碩,2026-01-05,not_locked,171.5,168.0,-3.5,-0.02040816326530612,46626,,,46626000,583.0903790087464,583.0903790087464,1.0,-2040.8163265306123,-2040.8163265306123
3312,弘憶股,2026-01-05,locked,42.1,41.8,-0.30000000000000426,-0.007125890736342144,11102,,,11102000,2375.296912114014,2375.296912114014,1.0,-712.5890736342143,-712.5890736342143
3321,同泰,2026-01-05,locked,20.45,20.0,-0.4499999999999993,-0.02200488997555009,4268,,,4268000,4889.97555012225,4889.97555012225,1.0,-2200.488997555009,-2200.488997555009
3430,奇鈦科,2026-01-05,not_locked,74.1,71.5,-2.5999999999999943,-0.03508771929824554,4709,,,4709000,1349.527665317139,1349.527665317139,1.0,-3508.771929824554,-3508.771929824554
3481,群創,2026-01-05,locked,19.9,20.5,0.6000000000000014,0.030150753768844296,536713,,,536713000,5025.125628140704,5025.125628140704,1.0,3015.0753768844297,3015.0753768844297
3491,昇達科,2026-01-05,not_locked,771.0,766.0,-5.0,-0.00648508430609598,3524,,,3524000,129.70168612191958,129.70168612191958,1.0,-648.5084306095979,-648.5084306095979
3623,富晶通,2026-01-05,locked,28.6,31.45,2.849999999999998,0.09965034965034957,598,,,598000,3496.5034965034965,3496.5034965034965,1.0,9965.034965034958,9965.034965034958
3680,家登,2026-01-05,locked,408.0,410.0,2.0,0.004901960784313725,7068,,,7068000,245.09803921568627,245.09803921568627,1.0,490.19607843137254,490.19607843137254
4130,健亞,2026-01-05,locked,30.4,30.5,0.10000000000000142,0.0032894736842105734,5579,,,5579000,3289.4736842105262,3289.4736842105262,1.0,328.9473684210573,328.9473684210573
4720,德淵,2026-01-05,locked,18.25,19.0,0.75,0.0410958904109589,2585,,,2585000,5479.45205479452,5479.45205479452,1.0,4109.58904109589,4109.58904109589
4741,泓瀚,2026-01-05,not_locked,23.0,21.95,-1.0500000000000007,-0.045652173913043506,1100,,,1100000,4347.826086956522,4347.826086956522,1.0,-4565.217391304351,-4565.217391304351
4764,雙鍵,2026-01-05,locked,127.0,130.5,3.5,0.027559055118110236,2781,,,2781000,787.4015748031496,787.4015748031496,1.0,2755.9055118110236,2755.9055118110236
5228,鈺鎧,2026-01-05,locked,21.35,22.55,1.1999999999999993,0.056206088992974204,1132,,,1132000,4683.840749414519,4683.840749414519,1.0,5620.60889929742,5620.60889929742
5245,智晶,2026-01-05,locked,25.7,26.75,1.0500000000000007,0.0408560311284047,648,,,648000,3891.0505836575876,3891.0505836575876,1.0,4085.6031128404697,4085.6031128404697
5291,邑昇,2026-01-05,locked,31.0,33.2,2.200000000000003,0.07096774193548397,1625,,,1625000,3225.8064516129034,3225.8064516129034,1.0,7096.774193548396,7096.774193548396
5351,鈺創,2026-01-05,locked,61.3,62.0,0.7000000000000028,0.011419249592169705,46874,,,46874000,1631.3213703099511,1631.3213703099511,1.0,1141.9249592169704,1141.9249592169704
6116,彩晶,2026-01-05,locked,8.78,9.52,0.7400000000000002,0.08428246013667429,45295,,,45295000,11389.521640091118,11389.521640091118,1.0,8428.246013667429,8428.246013667429
6124,業強,2026-01-05,locked,30.9,32.2,1.3000000000000043,0.042071197411003375,367,,,367000,3236.245954692557,3236.245954692557,1.0,4207.119741100338,4207.119741100338
6155,鈞寶,2026-01-05,locked,53.2,51.0,-2.200000000000003,-0.04135338345864667,6188,,,6188000,1879.6992481203006,1879.6992481203006,1.0,-4135.338345864667,-4135.338345864667
6207,雷科,2026-01-05,locked,54.6,55.5,0.8999999999999986,0.016483516483516456,4181,,,4181000,1831.5018315018315,1831.5018315018315,1.0,1648.3516483516457,1648.3516483516457
6239,力成,2026-01-05,locked,201.5,199.0,-2.5,-0.01240694789081886,32738,,,32738000,496.27791563275434,496.27791563275434,1.0,-1240.6947890818858,-1240.6947890818858
6259,百徽,2026-01-05,not_locked,20.0,18.6,-1.3999999999999986,-0.06999999999999992,1566,,,1566000,5000.0,5000.0,1.0,-6999.999999999993,-6999.999999999993
6270,倍微,2026-01-05,locked,24.75,25.55,0.8000000000000007,0.03232323232323235,2867,,,2867000,4040.40404040404,4040.40404040404,1.0,3232.323232323235,3232.323232323235
6285,啟碁,2026-01-05,locked,110.0,112.5,2.5,0.022727272727272728,11920,,,11920000,909.0909090909091,909.0909090909091,1.0,2272.727272727273,2272.727272727273
6405,悅城,2026-01-05,not_locked,31.7,31.0,-0.6999999999999993,-0.022082018927444772,3192,,,3192000,3154.5741324921137,3154.5741324921137,1.0,-2208.2018927444774,-2208.2018927444774
6461,益得,2026-01-05,locked,21.5,21.7,0.1999999999999993,0.009302325581395316,3010,,,3010000,4651.162790697675,4651.162790697675,1.0,930.2325581395316,930.2325581395316
6640,均華,2026-01-05,locked,718.0,718.0,0.0,0.0,1151,,,1151000,139.27576601671308,139.27576601671308,1.0,0.0,0.0
6861,睿生光電,2026-01-05,locked,66.3,66.5,0.20000000000000284,0.0030165912518854126,643,,,643000,1508.2956259426849,1508.2956259426849,1.0,301.6591251885413,301.6591251885413
6862,三集瑞-KY,2026-01-05,not_locked,184.0,181.0,-3.0,-0.016304347826086956,2346,,,2346000,543.4782608695652,543.4782608695652,1.0,-1630.4347826086957,-1630.4347826086957
6909,創控,2026-01-05,locked,43.2,44.95,1.75,0.04050925925925926,683,,,683000,2314.814814814815,2314.814814814815,1.0,4050.925925925926,4050.925925925926
